page_id,title,variance
348286,Пропан,15.339344262294935
2560908,Кіновсесвіт_Marvel,368.74590163934425
2615953,Список_померлих_2018_року,619.4448087431697
535221,Список_українських_жіночих_імен,645.3043715846995
2204198,Список_українських_жіночих_імен,645.3043715846995
334485,Ukr.net,775.563387978142
2673689,Ukr.net,775.5633879781421
268344,Вікіпедія:Патрулювання,862.5989071038254
250851,Чернівці,891.0830601092896
36061,Українська_мова,917.7486338797814
845354,Українська_мова,917.7486338797816
25716,Українська_мова,917.7486338797818
23021,Харків,972.7043715846991
1048374,Харків,972.7043715846993
526117,Харків,972.7043715846995
1734695,Вінниця,1002.2967213114752
776413,Вінниця,1002.2967213114753
2383741,Вінниця,1002.2967213114755
39405,Вінниця,1002.2967213114756
36825,Бандера_Степан_Андрійович,1101.649726775956
1618604,Бандера_Степан_Андрійович,1101.6497267759564
1720330,Втрати_силових_структур_внаслідок_російського_вторгнення_в_Україну,1162.7868852459012
1720234,Втрати_силових_структур_внаслідок_російського_вторгнення_в_Україну,1162.7868852459019
37711,Івано-Франківськ,1304.0825136612023
48796,Дніпро_(місто),1404.4486338797808
347491,Дніпро_(місто),1404.448633879782
1478110,Франція,1438.186885245901
362831,Франція,1438.1868852459015
1734501,Франція,1438.1868852459022
125629,Міста_України_(за_населенням),1549.4131147540982
30093,Міста_України_(за_населенням),1549.4131147540986
1431094,Порошенко_Петро_Олексійович,1665.3540983606556
56488,Туреччина,2169.2513661202183
1757942,Туреччина,2169.2513661202183
2194719,Велика_Британія,2223.936612021858
130844,Велика_Британія,2223.936612021858
905669,Родовий_відмінок_однини_іменників_чоловічого_роду_другої_відміни,2229.7721311475407
901274,Родовий_відмінок_однини_іменників_чоловічого_роду_другої_відміни,2229.7721311475416
51310,Тимошенко_Юлія_Володимирівна,2251.2781420765027
2579808,T-Fest,2329.28087431694
1750841,Угорщина,2424.787431693989
40629,Угорщина,2424.787431693989
39514,Німеччина,2577.0114754098354
1750124,Німеччина,2577.0114754098363
491765,Неоподатковуваний_мінімум,2593.2612021857926
2249046,Індивідуальний_податковий_номер,2638.3808743169384
1756611,Маркетинг,2656.830054644809
1734702,Кропивницький,2672.082513661202
1226127,Кропивницький,2672.0825136612025
38118,Кропивницький,2672.0825136612025
665821,Кропивницький,2672.0825136612025
1158333,Товариство_з_обмеженою_відповідальністю,2694.6907103825133
60036,Сполучені_Штати_Америки,2781.2956284153
2608416,Сполучені_Штати_Америки,2781.2956284153
579279,Коди_мобільних_операторів_України,3017.8710382513655
911301,Коди_мобільних_операторів_України,3017.8710382513655
1527358,Податок_на_додану_вартість,3266.5508196721303
77955,Одеса,3366.1191256830602
1734776,Одеса,3366.1191256830602
1416908,Одеса,3366.119125683061
822722,Одеса,3366.119125683062
220229,Збройні_сили_України,3453.053551912568
1775500,Збройні_сили_України,3453.0535519125683
382593,Збройні_сили_України,3453.05355191257
2624168,KAZKA,3584.885792349727
49496,Список_кодів_МКХ-10,3621.1475409836057
49497,Список_кодів_МКХ-10,3621.1475409836066
419772,Населення_України,3650.660655737704
108302,Населення_України,3650.660655737705
1135649,Київська_Русь,3963.9174863387957
22599,Київська_Русь,3963.9174863387975
517976,Київська_Русь,3963.917486338798
228056,Європейський_Союз,4399.646448087432
1747459,Європейський_Союз,4399.646448087433
53422,Франко_Іван_Якович,4421.893989071038
400467,Ідентифікаційний_номер_фізичної_особи,5317.978142076504
2246332,Національна_поліція_України,5367.183060109289
1969945,Національна_поліція_України,5367.183060109291
2235166,Національна_поліція_України,5367.183060109291
1936358,Росія,5530.351366120218
1075131,Росія,5530.351366120219
20465,Росія,5530.351366120219
2456391,Facebook,5580.248633879778
2379104,Facebook,5580.24863387978
2201264,Вибори_Президента_України_2019,5593.830054644809
1108222,Гриценко_Анатолій_Степанович,5828.281967213113
1734498,Польща,6358.015300546446
24827,Польща,6358.015300546447
255064,Польща,6358.015300546448
156558,Шевченко_Тарас_Григорович,6946.743169398907
2700026,Кріштіану_Роналду,7316.478142076504
53990,Друга_світова_війна,8612.037704918032
455279,Друга_світова_війна,8612.037704918033
2615914,Друга_світова_війна,8612.037704918033
264229,Друга_світова_війна,8612.037704918035
1040176,RSS,8991.81256830601
2440736,RSS,8991.812568306013
46100,Київ,9140.203278688523
19305,Київ,9140.203278688527
1734701,Київ,9140.203278688527
312506,Київ,9140.203278688536
2632623,YouTube,9670.816393442623
2066412,YouTube,9670.816393442623
72755,Українська_абетка,9896.479234972678
2240515,Українська_абетка,9896.479234972678
1990983,Лохина,10890.582513661206
1760335,Львів,10920.721857923496
247054,Львів,10920.721857923498
130383,Львів,10920.721857923498
510409,Львів,10920.7218579235
591224,Львів,10920.7218579235
252283,Нормативно-правовий_акт,11833.209836065573
1316672,Нормативно-правовий_акт,11833.209836065576
1640119,Код_ЄДРПОУ,13324.24863387978
1678653,Війна_на_сході_України,13538.146448087431
1979431,Війна_на_сході_України,13538.146448087431
1750323,Війна_на_сході_України,13538.146448087433
2013145,Сенцов_Олег_Геннадійович,14313.793989071035
27362,Італія,14453.843169398904
1752184,Італія,14453.843169398908
132622,Італія,14453.84316939891
71484,Хрещення_Русі,17894.038797814213
2215446,С14,18810.013114754096
39680,Конституція_України,25151.379234972683
1295580,Чемпіонат_світу_з_футболу,26309.92076502732
2329001,Ніцой_Лариса_Миколаївна,29661.663387978144
2042635,Ніцой_Лариса_Миколаївна,29661.663387978144
490867,День_Конституції_України,32481.79453551913
14611,Україна,37025.438797814204
1314077,Україна,37025.438797814204
189692,Україна,37025.438797814204
1314080,Україна,37025.43879781421
288123,Україна,37025.43879781422
21472,Україна,37025.438797814226
319525,Волинська_трагедія,42171.75355191257
2706892,Дрогальчук_Дмитро_Сергійович,51590.50437158468
1378549,-,55391.32732240435
2124717,-,55391.32732240437
1035292,Свято_Купала,84656.92950819674
2693992,Втрати_силових_структур_внаслідок_російського_вторгнення_в_Україну_(з_квітня_2018),95361.02896174864
2694001,Втрати_силових_структур_внаслідок_російського_вторгнення_в_Україну_(з_квітня_2018),95361.02896174864
1753231,Хорватія,190426.06065573776
1005758,Хорватія,190426.06065573782
2749541,Чемпіонат_світу_з_футболу_2018,204678.58251366124
2658917,Куць_Олександр_Іванович,371654.1846994535
2745590,Куць_Олександр_Іванович,371654.1846994536
360593,Лук'яненко_Левко_Григорович,433142.1502732242
241335,Драч_Іван_Федорович,591562.3606557377
1611984,Кантер_Леонід_Віленович,836373.3765027322
2120189,М120-15_«Молот»,943028.6131147541
2031021,М120-15_«Молот»,943028.6131147543
10028,Головна_сторінка,1039116.4524590166
4,Головна_сторінка,1039116.452459017
32626,Історія_України,3231791.9273224045
24153,Історія_України,3231791.927322405
23043,Історія_України,3231791.9273224054
1109045,Універсал_(авто),4573254.187431694
2675346,GitLab,1.1576053446448091E7
